,reviews
11," |   This airline made it impossible to sit with your spouse. Sharing the food we brought was also not possible. Bad open seating policy. When you board the plane, you get whatever seat is left over."
91," |   My flight itself was great. From Cincinnati to Chicago we were offered a snack and a drink. I had asked for a diet Coke. I didn't get mine. I was skipped on that one. I got a snack though. I just thought they were busy so I let it go. Then from Chicago to Memphis we were again offered a snack and what we wanted to drink. I got my snack but again, I didn't get my drink. Luckily, I had a 20oz in my pure. Although it was hot, at least it was wet. I watched the airline worker give two bags of snacks to customers. Not a bag, it was about estimated 20 or more in a bag. It was huge. I thought so if you tell them you like the snacks, they give you 20 or more bags for free! I had to let them know when I was getting off the plane not only did I not get my drink on either flight I was on today. I guess I just looked like I didn't or was thirsty! I have had much better service on different airlines. Southwest is a thumbs down for me."
120,"  The day started with a notice while we were departing our cruise ship notifying us of a delay on our flight from Houston to San Diego. We noticed the change reduced our layover to 40 minutes, so we headed directly to the airport to give us time to resolve the conflict. We arrived 6 hours before our scheduled time, so I stood in line for over an hour to discuss the issue with the over-worked agent who told me that my best bet was to keep the schedule as she didn't see anything that was better. This phrase came up a lot, but their agents are clearly trained to tell clients that they don't have control of the weather, etc. regarding delays. The only flights from Southwest that were delayed were those to San Diego (it was not weather related as the flights to and from San Diego were also on schedule except ours). After waiting until we could check luggage (4.5hrs), we went through security to our gate only to see the delay had been extended (5 minute layover). Agent 2 told me that she could only find another flight with 1 seat headed to Boise, but she could only see Houston connections, so I called their 800 number. 3rd agent was an explanation followed by hold/hang-up. 4th agent was actually willing to change the flights to another option, but because we checked baggage #4 (the only person willing to help us) had to send me back to the terminal agents with the flight information. 5th agent is unwilling to change the flight because the plane from San Diego to Boise has 17 passengers and is going to wait for us. I asked if we could be boarded in front or so we could make our connection, but that would be unfair to everyone else, so we sat in the back. I knew I was being lied to, but at this point I figured I'd just wait to see what would happen. We fly to San Diego to find a nice message once we were off airplane mode about how our flight left and we were given new boarding passes for a later flight along with a $100 voucher for a later flight (YAY!). I looked at my pass and it was an ""A"" position which was nice and handed off the other 3 for our family to my wife and went in search of food (terminal was super crowded due to construction) so we grabbed some snacks and found a spot on the floor to sit. I mentioned how it was nice that we didn't get boarded last and my son tells me his pass was C-30 and his girlfriend was C-15. I took our passes to the 7th agent (6 was for new passes) and expressed that it was ridiculous that my family was not set to board together. She immediately went off about how unfair it was for other passengers. I stated that my original tickets were in the A group for that leg of the flight (in an irritated voice), but she stuck to her argument. At this point, I was done with their service, so I expressed to her that I had spent the better part of 12 hours trying to get them to correct the issue and completely ignored. She threatened me regarding getting on the plane and finally got me a supervisor. The supervisor #8 and I had a long discussion regarding the situation and continued down the road of unfairness, but she would allow us to board together. She mentioned the $100 vouchers, but why would I ever fly with them again - I'd pay not to (and told her so). She also asked why I didn't ask for a supervisor - Isn't that their job when they can't help a customer? Flying with Southwest is just not worth the trouble. They get a 2 rating because their flight staff is actually amazing!"
129," |  Flight attendant was saving good seats for people that she decided she wants. Many people (not just my group) tried to sit in the seats but she blocked the seats with her body and gave all kinds of excuses as to why each person shouldn’t sit there. When she saw people that she liked, she unblocked the seats and told them to sit there. I don’t know how she decides who deserves the good seats, but i paid $100 for Earlybird check in (me and my wife) so that we would have choice of the better seats. Two other people in my group upgraded for the same reason but they couldn’t get the seats either. And one of those people have hip, knee and back issues and upgraded so that he would have a chance at the good seats (two knee replacements, one hip. replacement and multiple back surgeries) The whole point of paying extra/upgrading, is to get those seats. I feel jipped. And I really hate to say this but there was some kind of favoritism going on.  Furthermore there was another flight attendant that many people said was rude and condescending. People throughout the flight were trying to get to the front lavatories. The 2 rude flight attendants told several people that the restroom was closed. I understand that they were working in that area preparing our drinks and snacks, but they were very rude to my wife and several others when telling them to go use the other lavatories. I was sitting near the front with my wife and we watched these 2 flight attendants throughout the flight. Everyone sitting near us was watching and talking about the situation too. There was one flight attendant that was very kind and polite though."
131," Canceled flights after making everyone wait both in the boarded plane that wasn't moving for 4 hours (with AC off) took us off and told us to wait, 4 hours later they canceled the flight and did not give us food or a place to stay until the next available flight (all the ones for the rest of the evening were already booked)."
133," | Upon family boarding my daughter and I sat in the first 2 rows of the aircraft, we boarded the plane early. I put both our carry ons above us. I was soon interrupted by an un-helpful, nasty flight attendant stating you need to get you bag up or I have to check it. I quickly got my bag in and it fit fine, the woman watched me struggle with no help. Then after the plane had fully been boarded someone boarded the plane that also wanted their carry on to fit, my bag was then removed and placed further in back to place their bag where mine was. After drinks were served my daughter and I weren’t able to finish our drinks as a different flight attendant wanted to take our garbage and said we weren’t allowed to finish our drinks. When we were leaving the plane I asked the flight attendant where my bag was and I was told they didn’t know, and now I we had to wait until the entire aircraft un-boarded so I could get my bag. Once I was able to locate my bag it was in the exact position it originally was in but further back in the aircraft. My daughter and I were treated very poorly as we exited the aircraft by the flight attendant with a snarky, condescending tone “have a nice day”. Not sure how I feel about flying Southwest anymore with my family. We spent a lot of money on tickets and if we boarded early our bags should have had priority over the late comers and we should have been able to finish our drinks, and throw the garbage out when ready."
149," |  In 2007 Southwest served: 64.9 million cans of soda, juices, and water 11.3 million alcoholic beverages 6.1 million bags of pretzels 103.8 million bags of peanuts 14 million snackpacks 32 million other snacks Just think how much money Southwest would save if they stopped offering all those ""free"" drinks but then the public would go crazy.  Our beverage service has been canceled on probably 8 out of the last 10 flights I have been on.  And no I don't fly the same place so its not likely due to a specific route. But - if you do the math - Southwest is lost a TON of money due to the Christmas Flight debacle last year.  An average soda costs about $0.75 - $1.00 for the airlines, once you factor in the cost of the drink itself (they purchase cans), the cup, and the ice (which isnt much).  On average a flight has about 150 passengers - that's easily $112 - $150 they can put in their pocket when they ""cancel"" beverage service - and that's assuming each passenger only has one drink. On a recent flight (the one I'm on as I write this) - we were once again denied this ""freebie"" service in the name of supposed ""turbulence"" despite a relatively smooth flight.  I've heard others mention that the captain is the one who makes that decision, so I asked. When I asked about this, instead of simply answering my question, letting me know that the captain made the decision, etc. the flight attendant said something like ""let me find out"".   A few minutes later, the captain came on and ""explained"" why he felt it was important to cancel service - essentially providing an excuse for why they did this.  When I asked for the captain's name, so i could verify this with SWA customer service, I was met with another flight attendant who basically told me ""were not going to do that"" and refused to give me his name. He also threatened that they would ""divert the plane""  although I was extremely calm and was seated in my seat, not yelling or anything.  I guess I was talking loud enough for other passengers to hear - can't have more than one passenger figure out the little secret. Although I dont know what they are so worried about.  Most of the passengers on the plane will never even tell their friend or a significant other about the experience, let alone do anything that could actually make a difference (like report this on social media or via customer service). But still you dont have to ""hide"" and refuse to provide your name if you aren't doing anything wrong.  So this is all being done in the name of ""safety"" - lets go with that. "
219,  We were supposed to catch a flight from Denver to San Diego at 6:10 PM. When we got to the airport the flight kept getting delayed. At one point it was supposed to leave at 8:30 pm. We went to get dinner since we had time to wait. Then they moved it back to 645 pm so we had to get our food to go before it was even made to try and catch the flight. We then went to the new gate that our flight was supposed to be at and waited. All of the sudden we got notified that the gate moved again. We got ready to move to the next gate and then we were told by a southwest attendant working there that our flight was canceled. So in sum we’re now headed back home without our luggage after a very long day at the airport that took us nowhere. Terrible experience.
245,"  So unorganized as a whole. Delayed flights, short staffed, no drinks. Unassigned seating is so stupid and the seats are tiny. You get what you pay for."
258," |   couldn't fly because he had to many hours, so we were made to leave the tarmac and go back to the gate. While we waited for over an hour with no air conditioning, nothing about the passengers. Our flight arrived 2 hrs late. I was offered no food or drink the entire time we waited, nor while in the air.  What is wrong with your company and employees? "
