,reviews
14," My parents were flying home and my father called Southwest to check in. He was told that they were going to be bumped from the flight and could either fly on another day without paying or they could “upgrade” their fare for over $400 to remain on the flight, causing them to have to put out money they don’t necessarily have. They are retired and on a fixed income and they had to get home due to pet sitting obligations. When I talked to the Southwest representative, the only thing they would do for my parents is upgrade their boarding numbers. Once they got to the airport this “overbooked” flight was allowing standby passengers on the plane and there were several open seats. Not sure if this has ever happened to anyone else with Southwest but it sounds strange to me."
59,"   Horrible experience. Our original flight time was 11:30am. They delayed it to 2:00pm. We were fine until we arrived at the airport. They delayed our flight to 7:28pm! That's about 8 hours after we were supposed to leave. The weather wasn't even bad. It was beautiful outside and there was no storms at all. The delay was due to ""Air traffic control"" even though no other airline such as Delta or United had delayed or canceled flights. After waiting an hour at the airport, they cancelled our flight and would not give us a refund at first. We had a week long trip ahead of us that we couldn't go on because of Southwest. We also saw families of 8 going to Disney World Orlando and you can't get a refund from that either. Now we are trying to cancel everything we had planned for the trip. We lost a lot of money on this. I wish I could give 0 stars."
95,"  Customer Service was poor on my last flight. I was flying from Panama City to New York (LGA) with a connection in Nashville on a Saturday. My first flight was fine (in flight beverages and entertainment not great, but I have come to expect this with Southwest). My second flight got delayed 3/4 times before ultimately being cancelled at 8.30pm. Again, not usually an issue, but they were unable to rebook me until Monday. The service desk was not able to get me on a flight the next day at all and also wouldn't let me get on standby for any of the Sunday flights. I was willing to accept this, however, I had no place to stay in Nashville. When I requested a comped or discounted hotel room (especially considering I was going to need somewhere to stay for two nights) they declined siting weather as the reason for cancelation, therefore they didn't need to provide hotel accommodation. While I understand what's in their contract, it is an absolutely awful customer experience to be stranded in a city where you have no connections and are essentially forced to pay for a hotel or sleep in an airport for over 24 hours. I would have expected them to either pay for my hotel or try a bit harder to get my on a flight the following day and not two days later. When this has happened to me on other airlines, they have always provided a hotel room free of charge and tried their best to get me on a flight the very next day, regardless of the reason for the cancellation. I ultimately had to cancel my return flight and get a rental car to get myself home. (at an additional cost of several hundred dollars). I will think twice before booking with Southwest again. You could be out much more money than you planned if there is any unexpected weather."
130,"  I never write reviews but this experience was so tragic for me I felt like I needed to let off some steam. Some backstory - I just graduated college and am supporting my fiancé as he finishes college. After doing year-round school, I have about $2,000 to my name in addition to student debt I still owe. Since we are paying for our own honeymoon, we wanted something very affordable. We were planning on just going somewhere local when my fiancé's parents shared a 48 hour deal for Southwest tickets to go to Hawaii. They offered roundtrip tickets to 4 islands for under $350. We were ecstatic! Since my fiancé was saving for a ring I was in charge of purchasing the flights. I hurried to purchase them but then we found out housing was pretty expensive so we switched out flight to another island on the deal. Little did I know switching made the deal invalid. This wasn't mentioned in the email. I did notice it cost extra but thought the deal was still on there so the total couldn't be too much (this was my first time scheduling a flight and I was under time pressure so I was a bit naïve). After paying the difference, I looked a the confirmation email and saw that the total was $1250! I was working so I rushed to an office and got a hold of customer service and they told me that piece of information about changing flight locations. Apparently a lot of people were experiencing the same issue. I started crying explaining that I had no idea the deal wasn't applied and if there was any way I could get my money back. They said that if I canceled I could only get flight credit. I hung up and called my fiancé right away. I was bawling my eyes out explaining how I had messed up our honeymoon and we could never afford the trip at full cost. After that phone call I had to go back to work like everything was okay. I know I was a bit naïve but I still feel scammed out of my honeymoon. Please be careful trusting any deal Southwest Airlines promotes because there's probably a catch somewhere."
133," | Upon family boarding my daughter and I sat in the first 2 rows of the aircraft, we boarded the plane early. I put both our carry ons above us. I was soon interrupted by an un-helpful, nasty flight attendant stating you need to get you bag up or I have to check it. I quickly got my bag in and it fit fine, the woman watched me struggle with no help. Then after the plane had fully been boarded someone boarded the plane that also wanted their carry on to fit, my bag was then removed and placed further in back to place their bag where mine was. After drinks were served my daughter and I weren’t able to finish our drinks as a different flight attendant wanted to take our garbage and said we weren’t allowed to finish our drinks. When we were leaving the plane I asked the flight attendant where my bag was and I was told they didn’t know, and now I we had to wait until the entire aircraft un-boarded so I could get my bag. Once I was able to locate my bag it was in the exact position it originally was in but further back in the aircraft. My daughter and I were treated very poorly as we exited the aircraft by the flight attendant with a snarky, condescending tone “have a nice day”. Not sure how I feel about flying Southwest anymore with my family. We spent a lot of money on tickets and if we boarded early our bags should have had priority over the late comers and we should have been able to finish our drinks, and throw the garbage out when ready."
145," |  I can’t fly to Chicago for two days due to a rescheduled flight. For the first time we got on a plane and everyone just dropped us off and said that you were leaving tomorrow, and the next day they promised a direct flight to Chicago, but again they outplayed everything and changed the flight 3-4 hours before departure! Now I need to fly with a transfer to Dallas. I paid money for this! Is this an airline or a taxi on call? If you are saving your time, don't fly with this airline."
149," |  In 2007 Southwest served: 64.9 million cans of soda, juices, and water 11.3 million alcoholic beverages 6.1 million bags of pretzels 103.8 million bags of peanuts 14 million snackpacks 32 million other snacks Just think how much money Southwest would save if they stopped offering all those ""free"" drinks but then the public would go crazy.  Our beverage service has been canceled on probably 8 out of the last 10 flights I have been on.  And no I don't fly the same place so its not likely due to a specific route. But - if you do the math - Southwest is lost a TON of money due to the Christmas Flight debacle last year.  An average soda costs about $0.75 - $1.00 for the airlines, once you factor in the cost of the drink itself (they purchase cans), the cup, and the ice (which isnt much).  On average a flight has about 150 passengers - that's easily $112 - $150 they can put in their pocket when they ""cancel"" beverage service - and that's assuming each passenger only has one drink. On a recent flight (the one I'm on as I write this) - we were once again denied this ""freebie"" service in the name of supposed ""turbulence"" despite a relatively smooth flight.  I've heard others mention that the captain is the one who makes that decision, so I asked. When I asked about this, instead of simply answering my question, letting me know that the captain made the decision, etc. the flight attendant said something like ""let me find out"".   A few minutes later, the captain came on and ""explained"" why he felt it was important to cancel service - essentially providing an excuse for why they did this.  When I asked for the captain's name, so i could verify this with SWA customer service, I was met with another flight attendant who basically told me ""were not going to do that"" and refused to give me his name. He also threatened that they would ""divert the plane""  although I was extremely calm and was seated in my seat, not yelling or anything.  I guess I was talking loud enough for other passengers to hear - can't have more than one passenger figure out the little secret. Although I dont know what they are so worried about.  Most of the passengers on the plane will never even tell their friend or a significant other about the experience, let alone do anything that could actually make a difference (like report this on social media or via customer service). But still you dont have to ""hide"" and refuse to provide your name if you aren't doing anything wrong.  So this is all being done in the name of ""safety"" - lets go with that. "
161,"  I had a horrible trip. I booked a trip from Oakland Ca. to Savannah Ga. in Nov. 2022. I HATE flying early, so I booked a flight that had a reasonable, late-morning departure and paid the extra money for a better schedule. About a week before my trip in April of 2023, Southwest canceled my flights and rebooked my whole trip. So, I had to get up at 3.30am to be at the airport by 4.30am for my new take-off time of 5.55am. Exactly what I didn't want and paid extra to avoid. There was no refund for my extra payment when they forced me onto the early undesirable schedule. Then.... On my return home from Savannah, our plane was delayed taking off at the Savannah airport. It turns out the fuel truck for our plane didn't have enough fuel in it. Seriously. So they went and got more fuel and then refuelled our plane which caused a delay to our connection in Houston. We would have had 9 minutes (given the delay for fuelling) to catch our flight in Houston, but Southwest elected to keep the plane to Oakland on time and leave us behind. Great. Now we are rebooked through Southwest for a flight the next day and we are in Houston overnight. And guess what? I have to get on a plane at 6.15am which is exactly why I paid extra money for my original schedule to avoid. The representative at the Houston airport was really nice (Angie G.) and we got a hotel voucher and a $200 Southwest voucher. But this just isn't enough. I'm arriving 16 hours late. I'm staying in a city overnight that I don't care to be in, and cutting my sleep for the second time in a week to keep a flight schedule that I didn't authorize or sign up for. I paid my pet sitter $200 to stay the night in my home and take care of my pets unexpectedly for the extra night. Where is the actual compensation for the 16 hours of my life that I spent overnight in Houston? I had to eat. I had to pay my pet sitter. I lost sleep and essentially, I lost an entire day of rest at home before my work week. This is just awful. I don't know what is going on with this airline, but I have no interest in your voucher to plan a trip with you ever. So......maybe it's time to think about what is actually fair in this awful situation that you created?"
172," | I have been flying out to Colorado Spring every month for the past 7 months for medical reasons and almost all my Southwest flights are delayed which is costing me more money on wasted hotels, rental cars and stress. The only thing I can count on is them being late. They are rarely on time. Their flight times are merely suggestions not actual times you can count on."
194, |  I have had more than one issue with Southwest the past 3 times and am absolutely disgusted. I was forced to give up my seat to other people after I boarded first as an A class member. Then the airline lost my luggage on my flight home because it turns out they decided not to put it on the plane and when I was told it would arrive and I would be contacted I wasn't. I was called at 12am and woken up. Then I had booked a flight home Dec 22-29 to fly home after life saving surgery to spend Christmas with my family until my flight was canceled twice so I ended up having to spend Christmas alone and lost money due to paid appointments thanks to Southwest. I rebooted my flight and requested assistance which was not given after I specifically told them I couldn't lift per Dr. Orders but didn't get help until second time where I had to go through security again andI had to pay fora carry on bag. I was told I would get a flight credit due to SW canceling my trip because they sent my mom one. When I called to ask about it again they told me I don't get one after I had been waiting for the email I was promised. I am beyond disgusted as a customer and if the situation is not handled I will not be using SW again and will make sure to tell everyone I know not to use them either. They are a dishonest company who doesn't care about their customers or taking care of them as promised. I understand mistakes happen but what happened to me is not acceptable and won't be tolerated. I deserve respect and for SW to keep their word.  I'm tired of being told no one will do anything for me. I have flown SW for 15yrs with no problems until recently when it been nothing but awful and I'm considering switching airlines from now on.
